"evt","SOA","Latency","Offset","evt_num","evt_fin","note"
"DI21",511,137127,511,21,"Cat_A_S?_Cat_V",NA
"DI11",500,137627,500,11,NA,"ignore"
"DIN1",500,138127,500,1,"stand",NA
"DIN1",500,138627,500,1,"stand",NA
"DI20",511,139138,511,20,NA,"not specified - std_aft/nov"
"DI11",500,139638,500,11,NA,"ignore"
"DIN1",500,140138,500,1,"stand",NA
"DIN1",500,140638,500,1,"stand",NA
"DI31",511,141149,511,31,"Dog_A_S?_Dog_V",NA
"DI11",500,141649,500,11,NA,"ignore"
"DIN1",500,142149,500,1,"stand",NA
"DI22",514,142663,514,22,"Cat_A_S?_Dog_V",NA
"DI11",500,143163,500,11,NA,"ignore"
"DIN1",500,143663,500,1,"stand",NA
"DI10",514,144177,514,10,NA,"not specified - std_aft/nov"
"D202",437,144614,437,202,"Response",NA
"DI11",63,144677,63,11,NA,"ignore"
"DIN1",500,145177,500,1,"stand",NA
"DIN1",500,145677,500,1,"stand",NA
"DI21",511,146188,511,21,"Cat_A_S?_Cat_V",NA
"DI11",500,146688,500,11,NA,"ignore"
"DIN1",500,147188,500,1,"stand",NA
"DI21",514,147702,514,21,"Cat_A_S?_Cat_V",NA
"DI11",500,148202,500,11,NA,"ignore"
"DIN1",500,148702,500,1,"stand",NA
"DIN1",500,149202,500,1,"stand",NA
"DI21",511,149713,511,21,"Cat_A_S?_Cat_V",NA
"DI11",500,150213,500,11,NA,"ignore"
"DIN1",500,150713,500,1,"stand",NA
"DIN1",500,151213,500,1,"stand",NA
"DI20",511,151724,511,20,NA,"not specified - std_aft/nov"
"DI11",500,152224,500,11,NA,"ignore"
"DIN1",500,152724,500,1,"stand",NA
"DIN1",500,153224,500,1,"stand",NA
"DI22",512,153736,512,22,"Cat_A_S?_Dog_V",NA
"DI11",500,154236,500,11,NA,"ignore"
"DIN1",500,154736,500,1,"stand",NA
"D202",182,154918,182,202,"Response",NA
"DI22",332,155250,332,22,"Cat_A_S?_Dog_V",NA
"DI11",500,155750,500,11,NA,"ignore"
"DIN1",499,156249,499,1,"stand",NA
"DI10",514,156763,514,10,NA,"not specified - std_aft/nov"
"DI11",500,157263,500,11,NA,"ignore"
"DIN1",500,157763,500,1,"stand",NA
"D202",35,157798,35,202,"Response",NA
"DIN1",465,158263,465,1,"stand",NA
"DI32",511,158774,511,32,"Dog_A_S?_Cat_V",NA
"DI11",500,159274,500,11,NA,"ignore"
"DIN1",500,159774,500,1,"stand",NA
"DI21",515,160289,515,21,"Cat_A_S?_Cat_V",NA
"DI11",500,160789,500,11,NA,"ignore"
"DIN1",500,161289,500,1,"stand",NA
"DI20",514,161803,514,20,NA,"not specified - std_aft/nov"
"DI11",500,162303,500,11,NA,"ignore"
"DIN1",500,162803,500,1,"stand",NA
"DIN1",500,163303,500,1,"stand",NA
"DI22",511,163814,511,22,"Cat_A_S?_Dog_V",NA
"DI11",500,164314,500,11,NA,"ignore"
"DIN1",500,164814,500,1,"stand",NA
"DI22",514,165328,514,22,"Cat_A_S?_Dog_V",NA
"DI11",500,165828,500,11,NA,"ignore"
"DIN1",500,166328,500,1,"stand",NA
"DI10",513,166841,513,10,NA,"not specified - std_aft/nov"
"DI11",500,167341,500,11,NA,"ignore"
"DIN1",500,167841,500,1,"stand",NA
"D202",77,167918,77,202,"Response",NA
"DIN1",423,168341,423,1,"stand",NA
"DI21",511,168852,511,21,"Cat_A_S?_Cat_V",NA
"DI11",500,169352,500,11,NA,"ignore"
"DIN1",500,169852,500,1,"stand",NA
"DIN1",500,170352,500,1,"stand",NA
"DI21",512,170864,512,21,"Cat_A_S?_Cat_V",NA
"DI11",500,171364,500,11,NA,"ignore"
"DIN1",500,171864,500,1,"stand",NA
"DIN1",500,172364,500,1,"stand",NA
"DI32",511,172875,511,32,"Dog_A_S?_Cat_V",NA
"DI11",500,173375,500,11,NA,"ignore"
"DIN1",500,173875,500,1,"stand",NA
"DI20",514,174389,514,20,NA,"not specified - std_aft/nov"
"DI11",500,174889,500,11,NA,"ignore"
"DIN1",500,175389,500,1,"stand",NA
"DIN1",500,175889,500,1,"stand",NA
"DI22",511,176400,511,22,"Cat_A_S?_Dog_V",NA
"DI11",500,176900,500,11,NA,"ignore"
"DIN1",500,177400,500,1,"stand",NA
"DIN1",500,177900,500,1,"stand",NA
"DI31",511,178411,511,31,"Dog_A_S?_Dog_V",NA
"DI11",500,178911,500,11,NA,"ignore"
"DIN1",500,179411,500,1,"stand",NA
"DI22",514,179925,514,22,"Cat_A_S?_Dog_V",NA
"DI11",500,180425,500,11,NA,"ignore"
"DIN1",500,180925,500,1,"stand",NA
"DIN1",500,181425,500,1,"stand",NA
"DI10",511,181936,511,10,NA,"not specified - std_aft/nov"
"DI11",500,182436,500,11,NA,"ignore"
"D202",426,182862,426,202,"Response",NA
"DIN1",74,182936,74,1,"stand",NA
"DIN1",500,183436,500,1,"stand",NA
"DI21",512,183948,512,21,"Cat_A_S?_Cat_V",NA
"DI11",500,184448,500,11,NA,"ignore"
"DIN1",500,184948,500,1,"stand",NA
"DI21",513,185461,513,21,"Cat_A_S?_Cat_V",NA
"DI11",500,185961,500,11,NA,"ignore"
"DIN1",500,186461,500,1,"stand",NA
"DI20",514,186975,514,20,NA,"not specified - std_aft/nov"
"DI11",500,187475,500,11,NA,"ignore"
"DIN1",500,187975,500,1,"stand",NA
"DIN1",500,188475,500,1,"stand",NA
"DI22",511,188986,511,22,"Cat_A_S?_Dog_V",NA
"DI11",500,189486,500,11,NA,"ignore"
"DIN1",500,189986,500,1,"stand",NA
"DIN1",500,190486,500,1,"stand",NA
"DI22",512,190998,512,22,"Cat_A_S?_Dog_V",NA
"DI11",500,191498,500,11,NA,"ignore"
"DIN1",501,191999,501,1,"stand",NA
"DI31",513,192512,513,31,"Dog_A_S?_Dog_V",NA
"DI11",500,193012,500,11,NA,"ignore"
"DIN1",500,193512,500,1,"stand",NA
"DIN1",500,194012,500,1,"stand",NA
"DI10",512,194524,512,10,NA,"not specified - std_aft/nov"
"DI11",500,195024,500,11,NA,"ignore"
"D202",206,195230,206,202,"Response",NA
"DIN1",294,195524,294,1,"stand",NA
"DIN1",500,196024,500,1,"stand",NA
"DI32",511,196535,511,32,"Dog_A_S?_Cat_V",NA
"DI11",500,197035,500,11,NA,"ignore"
"DIN1",500,197535,500,1,"stand",NA
"DI32",514,198049,514,32,"Dog_A_S?_Cat_V",NA
