"evt","SOA","Latency","Offset","evt_num","evt_fin","note"
"DIN1",500,253854,500,1,"stand",NA
"DIN3",500,254354,500,3,"freq2","2 = down?"
"DIN1",500,254854,500,1,"stand",NA
"DIN4",500,255354,500,4,"int",NA
"DIN1",500,255854,500,1,"stand",NA
"DIN9",499,256353,499,9,"novel",NA
"DIN1",500,256853,500,1,"stand",NA
"DIN8",500,257353,500,8,"gap",NA
"DIN1",500,257853,500,1,"stand",NA
"DIN6",500,258353,500,6,"loc1","1 = left?"
"DIN1",500,258853,500,1,"stand",NA
"DIN3",500,259353,500,3,"freq2","2 = down?"
"DIN1",500,259853,500,1,"stand",NA
"DIN4",502,260355,502,4,"int",NA
"DIN1",500,260855,500,1,"stand",NA
"DIN5",500,261355,500,5,"dur",NA
"DIN1",500,261855,500,1,"stand",NA
"DIN3",500,262355,500,3,"freq2","2 = down?"
"DIN1",500,262855,500,1,"stand",NA
"DIN7",500,263355,500,7,"loc2","2 = right?"
"DIN1",500,263855,500,1,"stand",NA
"DIN9",500,264355,500,9,"novel",NA
"DIN1",500,264855,500,1,"stand",NA
"DIN7",500,265355,500,7,"loc2","2 = right?"
"DIN1",500,265855,500,1,"stand",NA
"DIN9",500,266355,500,9,"novel",NA
"DIN1",500,266855,500,1,"stand",NA
"DIN4",500,267355,500,4,"int",NA
"DIN1",500,267855,500,1,"stand",NA
"DIN7",500,268355,500,7,"loc2","2 = right?"
"DIN1",500,268855,500,1,"stand",NA
"DIN8",500,269355,500,8,"gap",NA
"DIN1",500,269855,500,1,"stand",NA
"DIN4",500,270355,500,4,"int",NA
"DIN1",500,270855,500,1,"stand",NA
"DIN9",500,271355,500,9,"novel",NA
"DIN1",500,271855,500,1,"stand",NA
"DIN4",500,272355,500,4,"int",NA
"DIN1",500,272855,500,1,"stand",NA
"DIN7",500,273355,500,7,"loc2","2 = right?"
"DIN1",500,273855,500,1,"stand",NA
"DIN3",500,274355,500,3,"freq2","2 = down?"
"DIN1",500,274855,500,1,"stand",NA
"DIN9",501,275356,501,9,"novel",NA
"DIN1",500,275856,500,1,"stand",NA
"DIN5",500,276356,500,5,"dur",NA
"DIN1",500,276856,500,1,"stand",NA
"DIN4",500,277356,500,4,"int",NA
"DIN1",500,277856,500,1,"stand",NA
"DIN2",500,278356,500,2,"freq1","1 = up?"
"DIN1",500,278856,500,1,"stand",NA
"DIN7",500,279356,500,7,"loc2","2 = right?"
"DIN1",500,279856,500,1,"stand",NA
"DIN8",500,280356,500,8,"gap",NA
"DIN1",500,280856,500,1,"stand",NA
"DIN5",500,281356,500,5,"dur",NA
"DIN1",500,281856,500,1,"stand",NA
"DIN8",500,282356,500,8,"gap",NA
"DIN1",500,282856,500,1,"stand",NA
"DIN9",500,283356,500,9,"novel",NA
"DIN1",500,283856,500,1,"stand",NA
"DIN7",500,284356,500,7,"loc2","2 = right?"
"DIN1",500,284856,500,1,"stand",NA
"DIN3",500,285356,500,3,"freq2","2 = down?"
"DIN1",500,285856,500,1,"stand",NA
"DIN5",500,286356,500,5,"dur",NA
"DIN1",500,286856,500,1,"stand",NA
"DIN8",500,287356,500,8,"gap",NA
"DIN1",500,287856,500,1,"stand",NA
"DIN3",500,288356,500,3,"freq2","2 = down?"
"DIN1",500,288856,500,1,"stand",NA
"DIN5",500,289356,500,5,"dur",NA
"DIN1",500,289856,500,1,"stand",NA
"DIN7",500,290356,500,7,"loc2","2 = right?"
"DIN1",500,290856,500,1,"stand",NA
"DIN8",501,291357,501,8,"gap",NA
"DIN1",500,291857,500,1,"stand",NA
"DIN3",500,292357,500,3,"freq2","2 = down?"
"DIN1",500,292857,500,1,"stand",NA
"DIN9",500,293357,500,9,"novel",NA
"DIN1",500,293857,500,1,"stand",NA
"DIN5",500,294357,500,5,"dur",NA
"DIN1",500,294857,500,1,"stand",NA
"DIN8",500,295357,500,8,"gap",NA
"DIN1",500,295857,500,1,"stand",NA
"DIN6",500,296357,500,6,"loc1","1 = left?"
"DIN1",500,296857,500,1,"stand",NA
"DIN3",500,297357,500,3,"freq2","2 = down?"
"DIN1",500,297857,500,1,"stand",NA
"DIN9",500,298357,500,9,"novel",NA
"DIN1",500,298857,500,1,"stand",NA
"DIN5",500,299357,500,5,"dur",NA
"DIN1",500,299857,500,1,"stand",NA
"DIN8",500,300357,500,8,"gap",NA
"DIN1",500,300857,500,1,"stand",NA
"DIN4",500,301357,500,4,"int",NA
"DIN1",500,301857,500,1,"stand",NA
"DIN9",500,302357,500,9,"novel",NA
"DIN1",500,302857,500,1,"stand",NA
