"evt","SOA","Latency","Offset","evt_num","evt_descr","note"
"DI13",360,550964,360,13,NA,NA
"DI13",180,551144,180,13,NA,NA
"DIN8",180,551324,180,8,"timbre1","timbre (middle of melody)"
"DIN4",360,551684,360,4,"std_timbre","standard for timbre"
"DIN1",710,552394,710,1,"std_key","standard for key"
"DIN3",360,552754,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,553114,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,553294,180,2,"std_rhythm","standard for rhythm"
"DIN6",180,553474,180,6,"melody","melody change"
"DIN9",359,553833,359,9,"timbre2","timbre (end of melody)"
"DIN1",710,554543,710,1,"std_key","standard for key"
"DIN7",360,554903,360,7,"tune","mistuning"
"DI13",360,555263,360,13,NA,NA
"DIN2",180,555443,180,2,"std_rhythm","standard for rhythm"
"DIN8",180,555623,180,8,"timbre1","timbre (middle of melody)"
"DIN4",360,555983,360,4,"std_timbre","standard for timbre"
"DIN1",711,556694,711,1,"std_key","standard for key"
"DIN3",359,557053,359,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,557413,360,2,"std_rhythm","standard for rhythm"
"D101",180,557593,180,101,"rhythm1","rhythm change (long tone)"
"DI13",360,557953,360,13,NA,NA
"DIN4",180,558133,180,4,"std_timbre","standard for timbre"
"DIN1",710,558843,710,1,"std_key","standard for key"
"DIN3",360,559203,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,559563,360,2,"std_rhythm","standard for rhythm"
"DIN7",180,559743,180,7,"tune","mistuning"
"DI13",360,560103,360,13,NA,NA
"DIN9",180,560283,180,9,"timbre2","timbre (end of melody)"
"DIN1",710,560993,710,1,"std_key","standard for key"
"DIN3",361,561354,361,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,561714,360,2,"std_rhythm","standard for rhythm"
"DIN6",179,561893,179,6,"melody","melody change"
"DI13",360,562253,360,13,NA,NA
"DIN4",180,562433,180,4,"std_timbre","standard for timbre"
"DIN1",710,563143,710,1,"std_key","standard for key"
"DIN3",361,563504,361,3,"std","standard for mistuning, rhythm, timbre, melody"
"D101",359,563863,359,101,"rhythm1","rhythm change (long tone)"
"DI13",360,564223,360,13,NA,NA
"DIN2",180,564403,180,2,"std_rhythm","standard for rhythm"
"DIN4",180,564583,180,4,"std_timbre","standard for timbre"
"DIN1",710,565293,710,1,"std_key","standard for key"
"DIN7",360,565653,360,7,"tune","mistuning"
"DI14",360,566013,360,14,NA,NA
"DIN2",360,566373,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,566553,180,2,"std_rhythm","standard for rhythm"
"DIN4",180,566733,180,4,"std_timbre","standard for timbre"
"DIN1",710,567443,710,1,"std_key","standard for key"
"DIN3",360,567803,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DI10",360,568163,360,10,"rhythm2","rhythm change (short tone)"
"DI13",181,568344,181,13,NA,NA
"DI13",360,568704,360,13,NA,NA
"DI15",179,568883,179,15,NA,NA
"DIN1",710,569593,710,1,"std_key","standard for key"
"DIN3",360,569953,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",361,570314,361,2,"std_rhythm","standard for rhythm"
"DIN6",180,570494,180,6,"melody","melody change"
"DI13",359,570853,359,13,NA,NA
"DIN4",180,571033,180,4,"std_timbre","standard for timbre"
"DIN1",711,571744,711,1,"std_key","standard for key"
"DIN3",359,572103,359,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,572463,360,2,"std_rhythm","standard for rhythm"
"DI10",180,572643,180,10,"rhythm2","rhythm change (short tone)"
"DI14",180,572823,180,14,NA,NA
"DIN4",360,573183,360,4,"std_timbre","standard for timbre"
"DIN1",710,573893,710,1,"std_key","standard for key"
"DIN8",360,574253,360,8,"timbre1","timbre (middle of melody)"
"DIN2",351,574604,351,2,"std_rhythm","standard for rhythm"
"DIN2",180,574784,180,2,"std_rhythm","standard for rhythm"
"DIN6",179,574963,179,6,"melody","melody change"
"DI15",360,575323,360,15,NA,NA
"DIN5",710,576033,710,5,"key","key change"
"DI23",361,576394,361,23,NA,NA
"DI22",360,576754,360,22,NA,NA
"DI22",179,576933,179,22,NA,NA
"DIN8",180,577113,180,8,"timbre1","timbre (middle of melody)"
"DIN4",361,577474,361,4,"std_timbre","standard for timbre"
"DIN1",709,578183,709,1,"std_key","standard for key"
"DIN3",360,578543,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"D101",360,578903,360,101,"rhythm1","rhythm change (long tone)"
"DI13",360,579263,360,13,NA,NA
"DI13",180,579443,180,13,NA,NA
"DIN4",180,579623,180,4,"std_timbre","standard for timbre"
"DIN1",711,580334,711,1,"std_key","standard for key"
"DIN3",359,580693,359,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN3",360,581053,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,581413,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,581593,180,2,"std_rhythm","standard for rhythm"
"DIN4",180,581773,180,4,"std_timbre","standard for timbre"
"DIN5",710,582483,710,5,"key","key change"
"DI23",360,582843,360,23,NA,NA
"DI10",360,583203,360,10,"rhythm2","rhythm change (short tone)"
"DI14",180,583383,180,14,NA,NA
"DI13",360,583743,360,13,NA,NA
"DI24",180,583923,180,24,NA,NA
"DIN1",710,584633,710,1,"std_key","standard for key"
"DIN3",360,584993,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,585353,360,2,"std_rhythm","standard for rhythm"
"DIN3",180,585533,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,585893,360,2,"std_rhythm","standard for rhythm"
"DIN4",180,586073,180,4,"std_timbre","standard for timbre"
"DIN1",710,586783,710,1,"std_key","standard for key"
"DIN3",360,587143,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,587503,360,2,"std_rhythm","standard for rhythm"
"DIN6",180,587683,180,6,"melody","melody change"
"DI13",360,588043,360,13,NA,NA
"DIN4",180,588223,180,4,"std_timbre","standard for timbre"
"DIN1",710,588933,710,1,"std_key","standard for key"
"DIN4",360,589293,360,4,"std_timbre","standard for timbre"
"DI13",360,589653,360,13,NA,NA
"DIN3",180,589833,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,590193,360,2,"std_rhythm","standard for rhythm"
